epoch,accuracy,iou,learning_rate,loss,precision,recall,val_accuracy,val_iou,val_loss,val_precision,val_recall
0,0.3434097170829773,0.20447273552417755,9.999999747378752e-05,0.8056179881095886,0.22204558551311493,0.6785129904747009,0.6856781244277954,0.22911131381988525,0.6645067930221558,0.0002597740094643086,1.0085779649671167e-05
1,0.4108428955078125,0.23197264969348907,9.999999747378752e-05,0.7413751482963562,0.2684212327003479,0.8231670260429382,0.6865463256835938,0.2301386445760727,0.6626558303833008,0.09139908105134964,0.0040191831067204475
2,0.4601455628871918,0.2512577772140503,9.999999747378752e-05,0.6999338269233704,0.2961329221725464,0.8837683200836182,0.7069381475448608,0.23119792342185974,0.6610633134841919,0.6362246870994568,0.07345977425575256
3,0.5104278326034546,0.2673332095146179,9.999999747378752e-05,0.6654385924339294,0.32230812311172485,0.915324330329895,0.7380157709121704,0.23220288753509521,0.6597009897232056,0.7920866012573242,0.181917205452919
4,0.5643646121025085,0.28192615509033203,9.999999747378752e-05,0.6342598795890808,0.35178640484809875,0.9338551759719849,0.7610198855400085,0.23312129080295563,0.6583283543586731,0.8324002623558044,0.2631833851337433
5,0.6166335940361023,0.29517510533332825,9.999999747378752e-05,0.6062873601913452,0.38404369354248047,0.945873498916626,0.7836288213729858,0.2340187430381775,0.6567514538764954,0.8585225343704224,0.34114643931388855
6,0.6668380498886108,0.3075041174888611,9.999999747378752e-05,0.580478310585022,0.4199085533618927,0.9545254111289978,0.8066909909248352,0.2348257452249527,0.6551538705825806,0.8749228119850159,0.42143431305885315
7,0.7159530520439148,0.31893494725227356,9.999999747378752e-05,0.5567175149917603,0.4612398147583008,0.9606038331985474,0.8266083002090454,0.235600084066391,0.653549313545227,0.878936767578125,0.4952521324157715
8,0.7595840692520142,0.3294958472251892,9.999999747378752e-05,0.5348201394081116,0.504828929901123,0.9653419256210327,0.8389434814453125,0.2363031506538391,0.6522117257118225,0.8725808262825012,0.547955334186554
9,0.7969757318496704,0.3394060730934143,9.999999747378752e-05,0.5140403509140015,0.5488541126251221,0.969425618648529,0.8442276120185852,0.23683273792266846,0.651785671710968,0.8629598021507263,0.5771284699440002
10,0.8274032473564148,0.3487529754638672,9.999999747378752e-05,0.494617760181427,0.5904882550239563,0.9723452925682068,0.8456939458847046,0.2371889054775238,0.6521698236465454,0.8542875051498413,0.5912233591079712
11,0.8514510989189148,0.3577009439468384,9.999999747378752e-05,0.47628679871559143,0.6279379725456238,0.9745160937309265,0.8436630368232727,0.23719830811023712,0.6537004709243774,0.8410441875457764,0.5964276194572449
12,0.8712097406387329,0.36635154485702515,9.999999747378752e-05,0.45909976959228516,0.6624608635902405,0.9755795001983643,0.8388611078262329,0.23689979314804077,0.6558091044425964,0.8221746683120728,0.5969772934913635
13,0.886126697063446,0.3730520009994507,9.999999747378752e-06,0.44414788484573364,0.6910107731819153,0.9766303300857544,0.8330017328262329,0.23618607223033905,0.6608141660690308,0.7723562717437744,0.6361202001571655
14,0.8875595331192017,0.3739125728607178,9.999999747378752e-06,0.4425632953643799,0.6938860416412354,0.976712167263031,0.8123931884765625,0.2351815402507782,0.6661725640296936,0.6966304183006287,0.6759035587310791
15,0.8889236450195312,0.3747981786727905,9.999999747378752e-06,0.4409399926662445,0.6966278553009033,0.9768631458282471,0.766796886920929,0.23399218916893005,0.6717848181724548,0.5980653166770935,0.7099279165267944
16,0.8903061151504517,0.3755000829696655,9.999999974752427e-07,0.4394245147705078,0.6994360089302063,0.9769763946533203,0.6784652471542358,0.23267412185668945,0.6776236295700073,0.48077142238616943,0.7189496755599976
17,0.8904708623886108,0.37559205293655396,9.999999974752427e-07,0.43925753235816956,0.6997674703598022,0.9770078659057617,0.6095412969589233,0.23135672509670258,0.6830064058303833,0.41703033447265625,0.7132158875465393
18,0.8906295895576477,0.37568509578704834,9.999999974752427e-07,0.43908897042274475,0.7000919580459595,0.9770204424858093,0.5691009759902954,0.23016947507858276,0.6875123381614685,0.38526421785354614,0.6988335847854614
19,0.890765368938446,0.37575793266296387,1.0000000116860974e-07,0.4389316141605377,0.7003734707832336,0.9770078659057617,0.5412384271621704,0.2291867882013321,0.6910417079925537,0.36414602398872375,0.6803413033485413
